date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:38:49	13003/13003	---M-Z	200	added ('OK')	text/html	etag:%2232cb-6a333e8f-6422d67e4ba2fd90;gz%22	https://zeekraa.com/demos/Malek-Fayrozz/index.html	C:/My%20Web%20Sites/MH/zeekraa.com/demos/Malek-Fayrozz/index.html	(from )
17:38:49	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-39dfdf90fb4dbc56;gz%22	https://zeekraa.com/robots.txt		(from )
17:38:50	102641/102641	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202023%2000:32:25%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/My%20Web%20Sites/MH/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://zeekraa.com/demos/Malek-Fayrozz/index.html)
17:38:50	395300/395300	---M--	200	added ('OK')	image/jpeg	etag:%2260824-6a333ed0-5142c44e16ff229c;;;%22	https://zeekraa.com/demos/Malek-Fayrozz/assets/preview.jpg	C:/My%20Web%20Sites/MH/zeekraa.com/demos/Malek-Fayrozz/assets/preview.jpg	(from https://zeekraa.com/demos/Malek-Fayrozz/index.html)
17:38:51	13003/13003	---M-Z	200	added ('OK')	text/html	etag:%2232cb-6a333e8f-6422d67e4ba2fd90;gz%22	https://zeekraa.com/demos/Malek-Fayrozz/	C:/My%20Web%20Sites/MH/zeekraa.com/demos/Malek-Fayrozz/index-2.html	(from https://zeekraa.com/demos/Malek-Fayrozz/index.html)
17:38:51	19953/19953	---M-Z	200	added ('OK')	text/css	etag:%224df1-6a333e8f-a6c5b07cbf36dcb3;gz%22	https://zeekraa.com/demos/Malek-Fayrozz/styles.css	C:/My%20Web%20Sites/MH/zeekraa.com/demos/Malek-Fayrozz/styles.css	(from https://zeekraa.com/demos/Malek-Fayrozz/index.html)
17:38:52	6746/6746	---M--	200	added ('OK')	image/jpeg	etag:%221a5a-6a333ece-344fd3dca7fd9f32;;;%22	https://zeekraa.com/demos/Malek-Fayrozz/assets/divider.jpg	C:/My%20Web%20Sites/MH/zeekraa.com/demos/Malek-Fayrozz/assets/divider.jpg	(from https://zeekraa.com/demos/Malek-Fayrozz/index.html)
17:38:54	1207662/1207662	---M--	200	added ('OK')	image/png	etag:%22126d6e-6a333ece-aff70ebd276a2e82;;;%22	https://zeekraa.com/demos/Malek-Fayrozz/assets/ChatGPT%20Image%20May%2026,%202026,%2003_13_19%20AM.png	C:/My%20Web%20Sites/MH/zeekraa.com/demos/Malek-Fayrozz/assets/ChatGPT%20Image%20May%2026,%202026,%2003_13_19%20AM.png	(from https://zeekraa.com/demos/Malek-Fayrozz/index.html)
17:39:04	2449383/2449383	---M--	200	added ('OK')	video/mp4	etag:%22255fe7-6a333ed8-f30ef83331099144;;;%22	https://zeekraa.com/demos/Malek-Fayrozz/assets/preloader.mp4	C:/My%20Web%20Sites/MH/zeekraa.com/demos/Malek-Fayrozz/assets/preloader.mp4	(from https://zeekraa.com/demos/Malek-Fayrozz/index.html)
17:39:04	2039556/2039556	---M--	200	added ('OK')	image/png	etag:%221f1f04-6a333ecc-24a6338520582c22;;;%22	https://zeekraa.com/demos/Malek-Fayrozz/assets/12345.png	C:/My%20Web%20Sites/MH/zeekraa.com/demos/Malek-Fayrozz/assets/12345.png	(from https://zeekraa.com/demos/Malek-Fayrozz/index.html)
17:39:06	113287/113287	---M--	200	added ('OK')	image/jpeg	etag:%221ba87-6a333ecd-2326132382dca89b;;;%22	https://zeekraa.com/demos/Malek-Fayrozz/assets/corner2.jpg	C:/My%20Web%20Sites/MH/zeekraa.com/demos/Malek-Fayrozz/assets/corner2.jpg	(from https://zeekraa.com/demos/Malek-Fayrozz/index.html)
